number;name;x;y;val;
0;0;-3.649049e-29;1.672763e-29;7.020312e-28;
0;1;7.363833e-31;5.529719e-30;-4.357624e-29;
0;2;5.446767e-29;-1.533156e-30;-9.860725e-28;
1;0;2.803462e-30;6.881995e-30;-6.738367e-29;
1;1;1.615243e-29;1.651333e-29;-5.574258e-28;
1;2;8.260975e-29;2.909603e-29;-1.528926e-27;
2;0;1.058355e-11;-1.007091e-11;-2.027449e-10;
2;1;-6.231002e-12;6.067258e-12;9.971849e-11;
2;2;-5.536076e-12;4.525524e-12;1.002413e-10;
3;0;1.568979e-35;-1.146840e-35;-3.790827e-34;
3;1;-4.157183e-35;1.105391e-35;5.469531e-34;
3;2;8.927020e-35;-3.419658e-35;-1.408324e-33;
4;0;-4.483170e-10;-8.183866e-11;-7.638166e-09;
4;1;1.232392e-09;1.447087e-10;1.445248e-08;
4;2;1.110492e-09;1.637380e-10;1.337919e-08;
5;0;7.999116e-17;-8.187640e-17;8.126235e-16;
5;1;-6.145220e-17;8.156773e-17;-8.177414e-16;
5;2;-2.237941e-17;4.585178e-17;-3.281181e-16;
6;0;-7.713773e-30;1.906758e-29;5.869589e-28;
6;1;2.141589e-29;-5.366045e-30;-4.771456e-28;
6;2;5.583716e-32;3.220944e-30;2.987264e-29;
7;0;3.566920e-10;-1.747842e-11;6.730901e-09;
7;1;1.243452e-10;-6.503983e-12;1.324910e-09;
7;2;4.559336e-10;-1.435181e-11;5.183592e-09;
8;0;3.894603e-08;-3.418967e-09;-7.666709e-07;
8;1;6.279614e-09;-1.235609e-08;-5.963715e-08;
8;2;-9.753286e-08;-2.156173e-08;2.222023e-06;
9;0;-9.352730e-28;-6.236580e-28;6.890510e-27;
9;1;-5.585486e-28;9.928029e-29;1.397103e-26;
9;2;1.420636e-27;-7.331255e-28;-3.160567e-26;
10;0;5.269530e-36;-1.936105e-36;-1.015074e-34;
10;1;-2.974154e-36;-3.138982e-36;3.988110e-35;
10;2;7.222505e-37;8.941421e-36;1.510142e-34;
11;0;-8.297621e-10;-8.146383e-11;-8.026882e-09;
11;1;1.487721e-09;2.292350e-10;1.525647e-08;
11;2;1.209393e-09;1.619502e-10;6.612423e-09;
12;0;-7.229023e-12;1.820854e-11;-4.382326e-10;
12;1;-5.274680e-12;3.744762e-11;-6.727070e-10;
12;2;-1.901770e-11;6.479872e-11;-1.137868e-09;
13;0;4.245072e-10;-5.021357e-11;6.813051e-09;
13;1;1.720589e-10;-2.997317e-11;2.534937e-09;
13;2;1.298736e-10;1.098039e-11;1.260106e-09;
14;0;-3.596115e-38;-1.733377e-38;-5.851130e-37;
14;1;1.300852e-37;4.597384e-38;1.644848e-36;
14;2;-3.815267e-38;-1.868348e-38;-3.644328e-37;
15;0;3.107553e-52;9.601457e-53;-6.825476e-51;
15;1;-2.140009e-52;-3.402669e-53;6.222427e-51;
15;2;4.472559e-52;8.859054e-53;-1.168150e-50;
16;0;1.401999e-03;4.472949e-03;6.789162e-02;
16;1;1.726869e-03;6.541338e-03;8.550196e-02;
16;2;1.708515e-03;4.818300e-03;7.023970e-02;
17;0;-3.786757e-04;2.895357e-05;-1.203807e-03;
17;1;4.549286e-03;-1.849992e-03;4.838494e-02;
17;2;2.758172e-03;-9.813289e-04;2.496835e-02;
18;0;-5.474172e-49;-1.101613e-48;-1.061123e-47;
18;1;-5.635079e-50;6.406138e-49;4.528351e-48;
18;2;5.145074e-49;1.415430e-49;1.410122e-48;
19;0;6.456699e-07;-1.853036e-06;-2.648726e-05;
19;1;-2.583326e-07;-2.496626e-06;-2.307029e-05;
19;2;3.371719e-07;-5.021332e-06;-8.849389e-05;
20;0;-2.013645e-03;7.113263e-04;-3.073407e-02;
20;1;-2.647466e-03;9.265896e-04;-3.593717e-02;
20;2;-2.066652e-03;1.416911e-03;-4.295331e-02;
21;0;-5.028795e-16;1.123365e-16;-8.673290e-15;
21;1;5.409981e-16;-3.664028e-16;8.559740e-15;
21;2;-5.683131e-16;-3.781403e-16;-1.475028e-14;
22;0;4.340351e-06;6.573496e-06;-2.265672e-04;
22;1;9.225457e-06;5.931949e-06;-2.629713e-04;
22;2;5.974768e-06;5.116443e-06;-1.087748e-04;
23;0;1.873110e-02;2.842342e-02;-2.480191e-01;
23;1;1.050471e-02;1.514291e-02;-1.945818e-01;
23;2;6.504988e-03;2.089774e-02;-1.899231e-01;
24;0;7.715167e-72;2.833603e-72;1.628295e-70;
24;1;3.207505e-72;1.120839e-72;5.974304e-71;
24;2;-5.236095e-72;-1.937903e-72;-1.061584e-70;
25;0;2.711311e-30;1.906835e-29;1.468465e-28;
25;1;-2.112438e-29;-1.660457e-29;-5.938316e-28;
25;2;1.289557e-29;1.171462e-29;4.828244e-28;
26;0;1.856950e-04;5.321406e-04;5.509308e-03;
26;1;-1.255090e-04;-7.631277e-04;-7.280873e-03;
26;2;-9.455666e-05;-7.021479e-04;-6.692216e-03;
27;0;-6.068877e-13;-5.469936e-12;1.253115e-10;
27;1;-7.046753e-13;-3.629090e-12;2.333407e-11;
27;2;-1.131960e-12;-9.252630e-12;1.149609e-10;
28;0;-7.735066e-62;-2.042069e-62;3.783133e-61;
28;1;-3.982272e-61;1.395241e-61;3.977063e-60;
28;2;1.233110e-61;-1.285219e-61;-1.317791e-60;
29;0;-1.927138e-03;-4.098259e-04;-5.143601e-02;
29;1;-1.692829e-03;-1.975547e-04;-3.995077e-02;
29;2;-1.721594e-03;-2.992347e-04;-6.179391e-02;
30;0;-1.078599e-09;1.534969e-10;-1.370747e-08;
30;1;-8.469591e-10;-1.364986e-11;-9.490527e-09;
30;2;-2.018960e-09;3.643395e-10;-2.866977e-08;
31;0;3.358951e-83;2.452896e-83;2.002490e-82;
31;1;4.374444e-83;-1.737317e-82;-2.733949e-81;
31;2;-6.615543e-83;1.452372e-83;9.912727e-82;
32;0;4.214808e-18;-4.498765e-18;2.537256e-17;
32;1;-2.966658e-17;5.623193e-18;-9.727171e-17;
32;2;1.542071e-17;-3.510479e-18;4.630441e-17;
33;0;3.213102e-102;8.903472e-103;5.571620e-101;
33;1;-5.049495e-102;-1.737919e-102;-6.389367e-101;
33;2;9.315110e-103;2.116331e-103;3.043325e-102;
34;0;-4.578058e-101;-2.126668e-100;-1.225934e-99;
34;1;-1.094006e-100;-1.030985e-100;-3.705585e-99;
34;2;8.507429e-101;1.030465e-100;2.605467e-99;
35;0;6.310952e-65;-5.156976e-65;-4.650772e-64;
35;1;8.860281e-66;-8.532940e-66;-1.102892e-64;
35;2;-1.426737e-64;1.155039e-64;1.202908e-63;
36;0;-9.662735e-03;1.828356e-02;-4.601293e-01;
36;1;-1.017280e-03;1.898226e-02;-2.781540e-01;
36;2;-1.065537e-02;2.325233e-02;-4.304028e-01;
37;0;-2.486834e-03;2.562376e-03;7.087912e-02;
37;1;-2.058938e-03;3.268783e-03;7.304112e-02;
37;2;-1.984956e-03;2.463884e-03;6.630018e-02;
38;0;-1.499422e-58;-1.897734e-58;6.512887e-57;
38;1;8.146637e-59;9.882647e-58;-3.419850e-56;
38;2;2.309882e-58;-3.911836e-58;1.741634e-56;
39;0;1.005711e-48;-7.807958e-48;-9.098406e-47;
39;1;5.853135e-47;3.439034e-47;-1.027063e-45;
39;2;-5.394310e-47;-3.158424e-47;1.125531e-45;
40;0;-3.515346e-50;1.369266e-49;-3.635322e-48;
40;1;2.060329e-51;-4.997937e-50;1.570792e-48;
40;2;1.181825e-50;-4.910364e-50;9.621727e-49;
41;0;6.899813e-06;-1.924812e-05;-2.628943e-04;
41;1;2.118702e-05;-6.010943e-05;-9.767835e-04;
41;2;-2.403529e-06;1.091623e-05;1.658654e-04;
42;0;-1.823973e-03;-9.019507e-04;2.037400e-02;
42;1;-2.033180e-03;-9.874932e-04;2.238983e-02;
42;2;-2.396949e-03;-1.474817e-03;4.598113e-02;
43;0;-1.174570e-65;-4.906020e-65;8.561647e-64;
43;1;-7.872126e-66;-1.634946e-65;3.628146e-64;
43;2;2.248302e-66;1.627434e-65;-2.344168e-64;
44;0;8.589692e-58;-1.432060e-57;4.718487e-56;
44;1;-1.523208e-57;2.963466e-58;-3.425332e-56;
44;2;3.943841e-58;3.348368e-58;-6.030812e-57;
45;0;-6.077216e-50;2.680213e-50;2.803903e-48;
45;1;4.596109e-51;2.373581e-51;-3.051963e-49;
45;2;1.097358e-49;-6.542327e-50;-3.102350e-48;
46;0;-3.953113e-03;1.922144e-03;-5.168038e-02;
46;1;-7.500012e-03;3.975591e-03;-3.337226e-02;
46;2;-7.895263e-03;4.663276e-03;-5.033715e-02;
47;0;2.014466e-21;-8.396971e-22;3.599862e-20;
47;1;-2.251057e-21;8.979096e-22;-2.887466e-20;
47;2;3.140243e-21;-1.693349e-21;4.228484e-20;
48;0;-1.581050e-27;2.607059e-27;-5.772696e-26;
48;1;3.535613e-27;-3.020354e-27;9.182930e-26;
48;2;5.631171e-27;-7.263313e-27;1.814682e-25;
49;0;-8.033354e-10;-4.568749e-10;-9.997743e-09;
49;1;-5.143370e-10;-5.455807e-10;-1.146296e-08;
49;2;-7.083008e-10;-5.763261e-10;-1.380048e-08;
50;0;4.000486e-02;3.866763e-02;-2.968974e-01;
50;1;9.750935e-02;9.699950e-02;-2.075523e-01;
50;2;6.766323e-02;3.379344e-02;-3.354560e-01;
51;0;-5.300782e-04;-5.692039e-04;3.760429e-03;
51;1;-6.645977e-04;4.886246e-04;-1.764443e-02;
51;2;-4.688852e-04;7.935259e-04;-3.387485e-02;
52;0;-9.797997e-17;-9.390977e-17;-1.980374e-16;
52;1;4.664396e-16;-4.632640e-17;1.093719e-15;
52;2;-1.096288e-15;4.331643e-16;-3.600581e-15;
53;0;-7.433898e-21;2.902261e-20;6.170210e-19;
53;1;-1.316276e-20;1.771905e-20;4.600913e-19;
53;2;3.436678e-22;-2.344357e-21;-1.188530e-19;
54;0;6.894948e-83;9.544003e-84;1.604942e-81;
54;1;-2.468196e-83;-5.405990e-83;5.589145e-82;
54;2;-1.398620e-82;-3.028079e-83;-3.156072e-81;
55;0;-4.238977e-29;1.108647e-27;-2.634724e-26;
55;1;2.198821e-29;2.839216e-28;-6.274363e-27;
55;2;7.211146e-29;-5.243841e-28;1.137904e-26;
56;0;9.207593e-20;-1.051787e-18;1.122761e-17;
56;1;7.291335e-19;6.175074e-19;-1.489254e-17;
56;2;4.327851e-19;5.654561e-19;-1.814570e-17;
57;0;-1.035848e-90;2.269336e-90;-6.783556e-89;
57;1;2.977529e-90;-5.075561e-91;8.486682e-89;
57;2;-4.596254e-91;-9.911692e-91;-4.103778e-90;
58;0;-3.121733e-37;-5.111093e-38;-7.648806e-37;
58;1;5.718145e-37;8.965341e-38;1.500397e-36;
58;2;9.367164e-38;-2.166642e-38;3.382342e-37;
59;0;-2.807064e-08;5.988518e-08;1.168742e-06;
59;1;4.935145e-09;7.155034e-09;9.185601e-08;
59;2;7.455054e-09;-2.257796e-08;-5.533591e-07;
60;0;4.057732e-23;-1.136913e-22;-8.390286e-21;
60;1;1.031722e-21;3.982587e-21;-1.009179e-19;
60;2;-1.647797e-21;-1.989243e-21;5.944079e-20;
61;0;7.614808e-38;4.455593e-36;-8.485949e-35;
61;1;4.072849e-37;1.740298e-36;-1.871586e-35;
61;2;1.961956e-36;-1.143352e-35;2.345467e-34;
62;0;3.712134e-27;-6.322185e-26;-1.840533e-24;
62;1;8.084434e-26;1.690482e-25;5.810763e-24;
62;2;-7.037139e-27;-3.959401e-26;-1.230032e-24;
63;0;-1.912360e-96;-9.291542e-96;1.169697e-94;
63;1;-1.495771e-96;-1.002460e-95;1.718054e-94;
63;2;3.314380e-96;8.277791e-96;-1.303898e-94;
64;0;-1.646986e-99;9.165092e-100;-3.396018e-98;
64;1;1.085886e-99;-6.443944e-100;2.080495e-98;
64;2;-7.320178e-100;-2.334723e-99;2.225031e-98;
65;0;-2.396951e-26;1.875382e-26;-2.317102e-25;
65;1;-2.479552e-27;-3.928688e-27;-1.847341e-26;
65;2;-2.112239e-27;5.750447e-27;-7.605115e-26;
66;0;6.588296e-94;3.877024e-93;-5.940918e-92;
66;1;5.212987e-94;-2.971478e-94;1.049156e-92;
66;2;-1.471163e-93;-2.125174e-93;-5.491391e-93;
67;0;1.370122e-16;-2.593153e-16;5.145364e-15;
67;1;1.726127e-16;-4.125050e-16;4.955326e-15;
67;2;-1.067976e-16;2.081947e-16;-3.126604e-15;
68;0;1.336590e-07;-4.340399e-09;1.976153e-06;
68;1;8.438625e-08;-1.845802e-08;7.764326e-07;
68;2;-2.551073e-07;-1.508627e-09;-3.578666e-06;
69;0;6.447624e-04;-4.660990e-03;1.009912e-01;
69;1;8.012441e-04;-5.375146e-03;1.133523e-01;
69;2;2.522331e-04;-4.484059e-03;9.858115e-02;
70;0;-1.814635e-06;-3.550503e-06;-5.296970e-05;
70;1;8.404918e-07;-1.994760e-06;-5.108419e-05;
70;2;-1.113536e-06;-2.226164e-06;-7.846984e-05;
71;0;-2.318702e-77;-8.223049e-77;-2.345704e-77;
71;1;-8.643640e-77;-5.656858e-77;-1.315604e-75;
71;2;1.476243e-76;1.725546e-76;2.753871e-75;
72;0;-3.085321e-30;7.791706e-30;1.267369e-28;
72;1;-4.323831e-30;1.263156e-29;1.916087e-28;
72;2;-1.608656e-29;-5.179807e-29;-9.702224e-28;
73;0;1.893647e-19;-8.155624e-19;5.018044e-18;
73;1;6.719361e-19;1.069125e-18;-9.796571e-19;
73;2;-5.267622e-19;3.534082e-19;-8.880509e-18;
74;0;9.249542e-17;1.088881e-16;1.746699e-15;
74;1;-1.705889e-16;-2.315130e-16;-3.679978e-15;
