number;name;x;y;val;
0;0;-3.842185e-29;1.766111e-29;7.415163e-28;
0;1;-3.765348e-32;5.412388e-30;-3.172008e-29;
0;2;5.619211e-29;-2.011567e-30;-1.022877e-27;
1;0;1.916005e-30;6.673595e-30;-5.275436e-29;
1;1;1.760888e-29;1.749810e-29;-5.795518e-28;
1;2;8.613861e-29;3.006863e-29;-1.603906e-27;
2;0;1.085700e-11;-1.021309e-11;-2.060599e-10;
2;1;-6.426756e-12;6.295787e-12;1.033020e-10;
2;2;-5.697521e-12;4.670317e-12;1.031354e-10;
3;0;1.556164e-35;-1.146964e-35;-3.792183e-34;
3;1;-4.254907e-35;1.125471e-35;5.610770e-34;
3;2;9.131297e-35;-3.487409e-35;-1.441163e-33;
4;0;-4.552154e-10;-8.252931e-11;-7.732998e-09;
4;1;1.243915e-09;1.461529e-10;1.458829e-08;
4;2;1.122690e-09;1.654446e-10;1.352024e-08;
5;0;8.142848e-17;-8.328998e-17;8.252722e-16;
5;1;-6.211562e-17;8.257231e-17;-8.262357e-16;
5;2;-2.206285e-17;4.598766e-17;-3.234970e-16;
6;0;-8.387627e-30;2.008194e-29;6.236754e-28;
6;1;2.207343e-29;-4.945858e-30;-4.824452e-28;
6;2;-6.613844e-31;2.721929e-30;4.501532e-29;
7;0;3.626496e-10;-1.788368e-11;6.843131e-09;
7;1;1.257311e-10;-6.434825e-12;1.338800e-09;
7;2;4.636785e-10;-1.471815e-11;5.270540e-09;
8;0;3.914486e-08;-3.428394e-09;-7.705269e-07;
8;1;6.418096e-09;-1.240058e-08;-6.266178e-08;
8;2;-9.785060e-08;-2.165602e-08;2.229198e-06;
9;0;-8.531845e-28;-6.867092e-28;4.801738e-27;
9;1;-5.387257e-28;8.644647e-29;1.359814e-26;
9;2;1.460905e-27;-7.509916e-28;-3.220448e-26;
10;0;5.314363e-36;-1.790516e-36;-1.004060e-34;
10;1;-3.063220e-36;-3.258267e-36;4.008064e-35;
10;2;7.245338e-37;9.099029e-36;1.538858e-34;
11;0;-8.406372e-10;-8.237714e-11;-8.121158e-09;
11;1;1.504029e-09;2.312409e-10;1.541572e-08;
11;2;1.218739e-09;1.637283e-10;6.659347e-09;
12;0;-7.303003e-12;1.836102e-11;-4.420933e-10;
12;1;-5.330495e-12;3.778948e-11;-6.789748e-10;
12;2;-1.919228e-11;6.543511e-11;-1.149104e-09;
13;0;4.312812e-10;-5.107463e-11;6.924058e-09;
13;1;1.745042e-10;-3.035312e-11;2.569271e-09;
13;2;1.316548e-10;1.129349e-11;1.274466e-09;
14;0;-3.974728e-38;-1.898271e-38;-6.354269e-37;
14;1;1.371793e-37;4.861354e-38;1.740331e-36;
14;2;-3.677783e-38;-1.799745e-38;-3.561531e-37;
15;0;3.162902e-52;9.664220e-53;-6.961037e-51;
15;1;-2.332341e-52;-4.207265e-53;6.737609e-51;
15;2;4.888213e-52;1.051168e-52;-1.271105e-50;
16;0;1.402627e-03;4.473895e-03;6.790613e-02;
16;1;1.726414e-03;6.538724e-03;8.546950e-02;
16;2;1.709612e-03;4.818120e-03;7.022692e-02;
17;0;-3.787552e-04;2.906837e-05;-1.203808e-03;
17;1;4.550733e-03;-1.850553e-03;4.840124e-02;
17;2;2.759472e-03;-9.815843e-04;2.497927e-02;
18;0;-5.861270e-49;-1.186354e-48;-1.144541e-47;
18;1;-5.958323e-50;6.818199e-49;4.834247e-48;
18;2;5.495409e-49;1.566566e-49;1.570123e-48;
19;0;6.563398e-07;-1.880451e-06;-2.686477e-05;
19;1;-2.605938e-07;-2.522364e-06;-2.329129e-05;
19;2;3.423225e-07;-5.083442e-06;-8.956703e-05;
20;0;-2.013516e-03;7.115738e-04;-3.073863e-02;
20;1;-2.647865e-03;9.267630e-04;-3.593333e-02;
20;2;-2.066765e-03;1.417168e-03;-4.295370e-02;
21;0;-5.373142e-16;1.163696e-16;-9.171697e-15;
21;1;5.171495e-16;-4.097065e-16;7.902914e-15;
21;2;-6.000809e-16;-3.918389e-16;-1.535720e-14;
22;0;4.355637e-06;6.593251e-06;-2.272970e-04;
22;1;9.250914e-06;5.948616e-06;-2.636944e-04;
22;2;5.985053e-06;5.130088e-06;-1.089552e-04;
23;0;1.872886e-02;2.841925e-02;-2.479718e-01;
23;1;1.050621e-02;1.514316e-02;-1.946201e-01;
23;2;6.501534e-03;2.089739e-02;-1.898391e-01;
24;0;8.082792e-72;2.968013e-72;1.707125e-70;
24;1;3.446144e-72;1.209123e-72;6.425053e-71;
24;2;-5.540864e-72;-2.048093e-72;-1.123803e-70;
25;0;4.288148e-30;2.269900e-29;1.757031e-28;
25;1;-1.573672e-29;-9.701898e-30;-4.931739e-28;
25;2;9.723532e-30;8.019140e-30;4.517536e-28;
26;0;1.861955e-04;5.336449e-04;5.529244e-03;
26;1;-1.255140e-04;-7.654958e-04;-7.312843e-03;
26;2;-9.502318e-05;-7.054880e-04;-6.724786e-03;
27;0;-6.130520e-13;-5.544747e-12;1.268286e-10;
27;1;-7.096261e-13;-3.642610e-12;2.323778e-11;
27;2;-1.138719e-12;-9.340450e-12;1.159835e-10;
28;0;-6.404796e-62;-3.479236e-62;2.162191e-61;
28;1;-5.174948e-61;2.242892e-61;5.617699e-60;
28;2;1.709644e-61;-1.668665e-61;-2.027173e-60;
29;0;-1.926262e-03;-4.104344e-04;-5.142588e-02;
29;1;-1.692047e-03;-1.970653e-04;-3.994405e-02;
29;2;-1.719965e-03;-2.989281e-04;-6.177260e-02;
30;0;-1.093584e-09;1.551646e-10;-1.389336e-08;
30;1;-8.572876e-10;-1.433643e-11;-9.598851e-09;
30;2;-2.050421e-09;3.695835e-10;-2.911630e-08;
31;0;3.349249e-83;3.493850e-83;3.943525e-82;
31;1;5.317448e-83;-1.812440e-82;-2.955919e-81;
31;2;-7.175540e-83;1.296321e-83;1.030058e-81;
32;0;4.597982e-18;-4.656655e-18;2.689091e-17;
32;1;-2.994599e-17;5.714631e-18;-9.809261e-17;
32;2;1.547434e-17;-3.512267e-18;4.625044e-17;
33;0;2.635416e-102;7.376246e-103;4.569550e-101;
33;1;-4.150313e-102;-1.427837e-102;-5.251556e-101;
33;2;7.681430e-103;1.762394e-103;2.559285e-102;
34;0;-3.269748e-101;-1.773188e-100;-8.496444e-100;
34;1;-9.152875e-101;-8.719249e-101;-3.118672e-99;
34;2;6.928468e-101;8.942463e-101;2.085960e-99;
35;0;6.134661e-65;-4.974559e-65;-4.519209e-64;
35;1;3.940828e-66;-4.266769e-66;-7.557941e-65;
35;2;-1.329597e-64;1.081543e-64;1.128828e-63;
36;0;-9.654741e-03;1.828431e-02;-4.601124e-01;
36;1;-1.016257e-03;1.898338e-02;-2.781025e-01;
36;2;-1.065589e-02;2.325867e-02;-4.303955e-01;
37;0;-2.486607e-03;2.561610e-03;7.086972e-02;
37;1;-2.059161e-03;3.267516e-03;7.302837e-02;
37;2;-1.984777e-03;2.463207e-03;6.628955e-02;
38;0;-1.428547e-58;-1.809863e-58;6.195477e-57;
38;1;8.482049e-59;9.407981e-58;-3.267179e-56;
38;2;2.219783e-58;-3.782418e-58;1.680607e-56;
39;0;1.080609e-48;-7.587602e-48;-9.185634e-47;
39;1;5.776662e-47;3.392093e-47;-1.015575e-45;
39;2;-5.355634e-47;-3.125790e-47;1.118922e-45;
40;0;-3.625616e-50;1.270152e-49;-3.343764e-48;
40;1;1.051977e-51;-4.476032e-50;1.439720e-48;
40;2;1.107229e-50;-4.708816e-50;9.073309e-49;
41;0;6.938316e-06;-1.941991e-05;-2.651483e-04;
41;1;2.138448e-05;-6.062818e-05;-9.853666e-04;
41;2;-2.444419e-06;1.099838e-05;1.673575e-04;
42;0;-1.824568e-03;-9.006604e-04;2.038070e-02;
42;1;-2.033904e-03;-9.869017e-04;2.238489e-02;
42;2;-2.398300e-03;-1.473465e-03;4.598475e-02;
43;0;-1.304797e-65;-5.456044e-65;9.615914e-64;
43;1;-8.693485e-66;-1.919551e-65;4.161116e-64;
43;2;3.056144e-66;1.982771e-65;-2.988441e-64;
44;0;8.442342e-58;-1.400050e-57;4.639785e-56;
44;1;-1.511953e-57;2.959757e-58;-3.402003e-56;
44;2;3.918916e-58;3.310613e-58;-5.875527e-57;
45;0;-4.374451e-50;1.771416e-50;2.377666e-48;
45;1;3.135141e-51;4.207251e-51;-2.301419e-49;
45;2;1.041080e-49;-5.802770e-50;-2.947108e-48;
46;0;-3.954996e-03;1.925081e-03;-5.172277e-02;
46;1;-7.501716e-03;3.976040e-03;-3.339390e-02;
46;2;-7.896987e-03;4.665873e-03;-5.037941e-02;
47;0;2.035730e-21;-8.497931e-22;3.642203e-20;
47;1;-2.300094e-21;9.183358e-22;-2.960375e-20;
47;2;3.207315e-21;-1.734695e-21;4.329890e-20;
48;0;-1.667149e-27;2.720549e-27;-6.061096e-26;
48;1;3.659676e-27;-3.148494e-27;9.537641e-26;
48;2;5.774129e-27;-7.451403e-27;1.863818e-25;
49;0;-8.224490e-10;-4.673116e-10;-1.022793e-08;
49;1;-5.274344e-10;-5.599041e-10;-1.176141e-08;
49;2;-7.265382e-10;-5.917374e-10;-1.415866e-08;
50;0;4.001085e-02;3.866020e-02;-2.969331e-01;
50;1;9.752231e-02;9.699022e-02;-2.076713e-01;
50;2;6.766627e-02;3.378530e-02;-3.355513e-01;
51;0;-5.301983e-04;-5.704020e-04;3.796887e-03;
51;1;-6.637170e-04;4.880374e-04;-1.765069e-02;
51;2;-4.691059e-04;7.932698e-04;-3.387024e-02;
52;0;-9.411229e-17;-9.715938e-17;-1.840055e-16;
52;1;4.665087e-16;-4.148481e-17;1.073146e-15;
52;2;-1.120105e-15;4.427685e-16;-3.678624e-15;
53;0;-7.544513e-21;2.925611e-20;6.228893e-19;
53;1;-1.346819e-20;1.827534e-20;4.732396e-19;
53;2;3.376862e-22;-2.465448e-21;-1.225257e-19;
54;0;6.049855e-83;6.959016e-84;1.460039e-81;
54;1;-2.797389e-83;-4.328047e-83;2.453715e-82;
54;2;-1.174133e-82;-2.569581e-83;-2.637670e-81;
55;0;-4.337551e-29;1.127665e-27;-2.681983e-26;
55;1;2.172038e-29;2.868781e-28;-6.332837e-27;
55;2;7.337403e-29;-5.344010e-28;1.161083e-26;
56;0;1.174980e-19;-1.044079e-18;1.073337e-17;
56;1;7.399222e-19;6.265345e-19;-1.513361e-17;
56;2;4.265624e-19;5.632079e-19;-1.803522e-17;
57;0;-9.834511e-91;2.215514e-90;-6.528413e-89;
57;1;2.766345e-90;-5.006146e-91;7.926944e-89;
57;2;-4.015734e-91;-9.429522e-91;-2.795519e-90;
58;0;-3.218281e-37;-5.213121e-38;-7.921320e-37;
58;1;5.827800e-37;9.223459e-38;1.527982e-36;
58;2;1.024096e-37;-2.173667e-38;3.673349e-37;
59;0;-2.814725e-08;6.007233e-08;1.172199e-06;
59;1;5.014158e-09;7.080377e-09;8.977873e-08;
59;2;7.491600e-09;-2.274549e-08;-5.570934e-07;
60;0;2.240800e-23;-1.521695e-22;-7.645897e-21;
60;1;1.031205e-21;4.011794e-21;-1.018394e-19;
60;2;-1.644324e-21;-1.905812e-21;5.771976e-20;
61;0;8.117535e-38;4.490298e-36;-8.560527e-35;
61;1;3.837411e-37;1.928650e-36;-2.259177e-35;
61;2;2.008992e-36;-1.167559e-35;2.398018e-34;
62;0;3.730541e-27;-6.614786e-26;-1.930690e-24;
62;1;8.427103e-26;1.784831e-25;6.120100e-24;
62;2;-7.778078e-27;-4.411863e-26;-1.347488e-24;
63;0;3.181217e-96;6.865410e-96;-6.617346e-95;
63;1;-4.243081e-96;-1.959316e-95;3.539081e-94;
63;2;2.379746e-96;4.828605e-96;-1.292756e-94;
64;0;-1.464963e-99;8.236140e-100;-3.038139e-98;
64;1;9.539046e-100;-5.724467e-100;1.826885e-98;
64;2;-6.239492e-100;-2.089814e-99;2.055875e-98;
65;0;-2.436461e-26;1.991501e-26;-2.454531e-25;
65;1;-2.118217e-27;-3.893377e-27;-1.171776e-26;
65;2;-2.458483e-27;4.990120e-27;-6.701263e-26;
66;0;6.087267e-94;3.636338e-93;-5.608981e-92;
66;1;4.969851e-94;-2.938599e-94;1.053917e-92;
66;2;-1.367328e-93;-1.982018e-93;-4.920941e-93;
67;0;1.382716e-16;-2.636279e-16;5.221928e-15;
67;1;1.741258e-16;-4.187771e-16;5.018407e-15;
67;2;-1.090658e-16;2.141195e-16;-3.200862e-15;
68;0;1.341630e-07;-4.330242e-09;1.982940e-06;
68;1;8.515663e-08;-1.835514e-08;7.834113e-07;
68;2;-2.553132e-07;-1.530319e-09;-3.580149e-06;
69;0;6.450565e-04;-4.661120e-03;1.009958e-01;
69;1;8.016655e-04;-5.375794e-03;1.133672e-01;
69;2;2.524639e-04;-4.484072e-03;9.858348e-02;
70;0;-1.834089e-06;-3.584459e-06;-5.361052e-05;
70;1;8.481068e-07;-2.009409e-06;-5.142226e-05;
70;2;-1.122514e-06;-2.244466e-06;-7.910494e-05;
71;0;-2.221958e-77;-8.204804e-77;-4.019985e-78;
71;1;-8.667689e-77;-5.734183e-77;-1.328524e-75;
71;2;1.465287e-76;1.717448e-76;2.733235e-75;
72;0;-3.425014e-30;9.435505e-30;1.484027e-28;
72;1;-4.685808e-30;1.408981e-29;2.155650e-28;
72;2;-1.622117e-29;-5.695552e-29;-1.049674e-27;
73;0;1.855421e-19;-8.234572e-19;4.979073e-18;
73;1;6.888716e-19;1.169212e-18;-1.386267e-18;
73;2;-5.033384e-19;2.496623e-19;-8.342589e-18;
74;0;9.539365e-17;1.120312e-16;1.799866e-15;
74;1;-1.737902e-16;-2.360504e-16;-3.754539e-15;
74;2;-1.124456e-16;-1.868794e-16;-3.923057e-15;
75;0;-7.406497e-89;1.700392e-89;-1.409445e-87;
75;1;-2.678690e-89;8.356436e-90;-5.198491e-88;
75;2;4.484524e-89;-9.689797e-90;8.168471e-88;
76;0;1.012473e-102;5.820370e-103;2.236247e-101;
76;1;-1.414858e-102;-8.175713e-103;-3.061460e-101;
76;2;-7.673756e-103;-3.985435e-103;-1.687879e-101;
77;0;-1.104479e-03;-3.350505e-04;-3.141194e-02;
77;1;-6.657026e-04;-1.122741e-04;-5.110553e-02;
77;2;-7.024662e-04;-8.326748e-05;-5.196792e-02;
78;0;-3.637711e-47;-6.627504e-46;1.446790e-44;
78;1;-1.487325e-48;5.047328e-46;-9.435118e-45;
78;2;1.125899e-47;-6.755376e-46;1.366619e-44;
79;0;-3.282024e-09;1.871276e-09;-6.414608e-08;
79;1;7.942651e-09;-8.855211e-09;3.379346e-07;
79;2;1.110353e-08;-5.851418e-09;2.664612e-07;
80;0;-1.435769e-04;-8.327753e-05;3.452173e-03;
80;1;6.671656e-04;1.909761e-04;-1.464257e-02;
80;2;5.902460e-04;2.597961e-04;-1.323086e-02;
81;0;3.295891e-105;4.912200e-105;-3.405916e-103;
81;1;-3.337295e-104;5.820061e-105;1.535211e-102;
81;2;7.443448e-105;-1.340389e-104;-3.990817e-103;
82;0;-4.533315e-64;2.235429e-64;-6.362745e-64;
82;1;2.594613e-63;-2.615405e-63;8.010638e-62;
82;2;-4.590563e-63;6.682895e-63;-1.898642e-61;
83;0;-4.956729e-27;1.081654e-26;3.681524e-25;
83;1;-5.942517e-27;-2.589217e-26;-4.418018e-25;
83;2;-3.665212e-26;2.619247e-26;9.576353e-25;
84;0;7.847577e-06;1.236117e-05;1.780200e-04;
84;1;1.705969e-05;2.392165e-05;3.272889e-04;
84;2;1.649570e-05;9.895751e-06;2.041642e-04;
85;0;-2.752086e-68;2.038587e-70;5.804299e-67;
85;1;-1.442278e-67;-9.667138e-67;1.731373e-65;
85;2;8.222572e-68;8.414350e-67;-1.577891e-65;
86;0;-1.370946e-06;8.419177e-07;-2.359592e-05;
86;1;-4.861477e-07;4.765824e-07;-6.969650e-06;
86;2;-1.320119e-06;7.151900e-07;-2.159604e-05;
87;0;-8.452345e-52;7.391652e-51;2.079776e-49;
87;1;1.961950e-50;3.119221e-50;-2.753349e-48;
87;2;2.298997e-50;-3.904325e-50;1.979385e-48;
88;0;1.525395e-12;-8.839707e-13;-2.179295e-11;
88;1;9.124982e-13;1.020306e-13;-9.243934e-12;
88;2;-1.365861e-13;5.583895e-13;9.624163e-12;
89;0;-6.469514e-53;-2.980462e-53;1.730033e-51;
89;1;3.779782e-52;8.174238e-52;-1.704314e-50;
89;2;-1.074555e-52;-1.760363e-52;4.514902e-51;
90;0;3.986018e-31;3.238601e-31;6.335852e-30;
90;1;-1.105754e-30;-1.774931e-30;-3.368419e-29;
90;2;4.918087e-31;4.011096e-31;8.397849e-30;
91;0;1.271190e-06;-2.467093e-07;-3.228293e-05;
91;1;3.054333e-06;4.121621e-07;-7.459065e-05;
91;2;2.376998e-07;3.840823e-07;-6.394690e-06;
92;0;1.240105e-35;-8.396729e-35;3.083786e-34;
92;1;-6.863719e-36;1.299672e-34;-4.302523e-34;
92;2;-1.802520e-36;6.474754e-35;-2.110403e-34;
93;0;1.325789e-26;8.273991e-26;-1.978121e-24;
93;1;2.841979e-26;1.266678e-25;-2.840939e-24;
93;2;-2.007674e-25;-3.558354e-25;1.031338e-23;
94;0;2.211457e-74;5.299667e-74;-7.611448e-73;
94;1;2.344467e-74;2.147480e-73;-5.155447e-72;
94;2;-2.942885e-74;-1.124921e-73;2.398117e-72;
95;0;-7.090772e-77;3.215425e-77;2.162430e-75;
95;1;2.559652e-76;-9.573316e-77;-7.248340e-75;
95;2;-6.224665e-77;4.847469e-77;1.881619e-75;
96;0;5.226381e-10;1.638562e-10;-5.191770e-09;
96;1;2.883143e-10;-1.927126e-10;-1.211287e-08;
96;2;4.116430e-10;-1.838549e-10;-1.470147e-08;
97;0;1.597799e-17;1.663787e-18;-1.056223e-16;
97;1;8.394082e-18;-1.221179e-18;-8.912064e-17;
97;2;-8.324004e-18;2.755111e-18;9.982548e-17;
98;0;4.353025e-11;-1.685072e-11;-3.300237e-10;
98;1;2.984509e-10;-1.651065e-10;-3.013735e-09;
98;2;-2.278978e-11;-9.813358e-13;-1.811066e-10;
99;0;1.744698e-21;-4.032647e-22;-4.411004e-20;
99;1;4.448692e-22;-3.734742e-22;-2.521322e-21;
99;2;3.758512e-21;2.460441e-21;-7.249834e-20;
100;0;6.431333e-65;-8.262977e-65;2.309885e-63;
100;1;-4.816652e-65;6.760733e-65;-1.502284e-63;
100;2;5.458930e-65;-7.568051e-65;1.607978e-63;
101;0;-3.393118e-19;-1.558504e-17;-2.311885e-16;
101;1;-3.768140e-18;-9.396168e-18;-8.976730e-17;
101;2;-3.068765e-18;5.078073e-18;8.340648e-17;
102;0;2.227948e-32;1.696406e-32;-5.426269e-31;
102;1;3.267647e-33;1.168240e-33;-1.247965e-31;
102;2;-1.031926e-32;-1.009870e-32;2.777526e-31;
103;0;3.378091e-45;-4.262293e-44;6.359781e-43;
103;1;4.831005e-44;-1.865098e-43;4.814995e-42;
103;2;-1.474218e-44;6.424960e-44;-1.752232e-42;
104;0;-2.413265e-04;1.464910e-04;-7.272344e-04;
104;1;-2.930387e-04;-1.133477e-04;-4.384002e-03;
104;2;-3.006109e-04;-2.164871e-04;-3.945774e-03;
105;0;-7.402655e-59;2.675441e-58;-5.020722e-57;
105;1;6.123762e-59;-2.830362e-58;6.239477e-57;
105;2;1.341645e-58;-4.361312e-58;8.200606e-57;
106;0;1.177952e-70;-8.549177e-71;3.358201e-69;
106;1;-5.736700e-70;2.407805e-70;-1.333267e-68;
106;2;9.468755e-72;-2.518382e-70;7.378510e-69;
107;0;-2.555872e-09;-3.307741e-09;-5.383955e-08;
107;1;8.883607e-09;5.395067e-09;1.121703e-07;
107;2;6.859103e-09;6.719777e-09;1.137883e-07;
108;0;-2.277492e-09;7.117726e-09;-9.396008e-08;
108;1;2.552889e-10;-1.042536e-09;1.513182e-08;
108;2;-1.894176e-09;5.212458e-09;-5.954574e-08;
109;0;5.840789e-78;-5.419619e-77;1.090352e-75;
109;1;-3.256873e-78;1.018738e-77;-1.788506e-76;
109;2;-4.128238e-78;1.969471e-77;-3.970780e-76;
110;0;1.459490e-09;-1.035707e-10;2.265493e-08;
110;1;1.222330e-09;-4.804915e-10;1.587535e-08;
110;2;-2.296246e-09;1.409529e-11;-3.669788e-08;
111;0;4.776742e-41;-4.191078e-41;-9.758901e-40;
111;1;-1.497894e-41;1.075236e-41;2.292426e-40;
111;2;-2.493260e-41;1.692632e-41;5.108668e-40;
112;0;2.497691e-40;7.703356e-40;1.119686e-38;
112;1;-2.921386e-40;-8.596899e-40;-1.078157e-38;
112;2;-3.075023e-40;-8.375091e-40;-1.515391e-38;
113;0;5.292070e-35;-4.136776e-34;1.086700e-32;
113;1;-3.128509e-35;3.571922e-34;-1.042685e-32;
113;2;6.266480e-35;-5.323408e-34;1.285756e-32;
114;0;-1.519341e-51;-1.742258e-51;5.182792e-50;
114;1;2.388957e-51;3.569948e-51;-9.561909e-50;
114;2;1.092540e-51;2.275856e-51;-4.840549e-50;
115;0;1.380735e-06;2.311259e-06;-6.328496e-05;
115;1;4.589515e-06;5.378212e-06;-1.496220e-04;
115;2;-3.399337e-06;-2.636356e-06;7.681435e-05;
116;0;1.371188e-28;-6.016782e-28;-3.837333e-27;
116;1;1.003706e-27;7.833916e-28;-2.315503e-26;
116;2;5.108851e-29;4.980691e-29;-2.639826e-27;
117;0;-4.762648e-38;2.494821e-38;-1.060664e-36;
117;1;8.838049e-40;1.121435e-38;2.709106e-37;
117;2;1.634788e-38;-6.420314e-39;4.093602e-37;
118;0;-2.077191e-08;-7.713994e-09;-8.635709e-08;
118;1;-8.900277e-08;6.152977e-09;-1.473508e-06;
118;2;-4.267537e-08;3.925549e-09;-7.434970e-07;
119;0;5.320594e-49;-2.864710e-48;5.943364e-47;
119;1;-2.699956e-47;-4.243050e-47;1.059302e-45;
119;2;1.385230e-47;1.764897e-47;-4.384032e-46;
120;0;8.877348e-35;8.554198e-35;-4.119457e-33;
120;1;2.124265e-35;6.690155e-35;-1.132592e-34;
120;2;-4.027324e-35;-8.244287e-35;1.551323e-33;
121;0;-4.355118e-04;-4.272983e-04;-2.219723e-02;
121;1;-4.276091e-04;-2.125846e-04;-1.970559e-02;
121;2;-4.203537e-04;-2.433819e-04;-2.162888e-02;
122;0;2.594965e-04;-2.088118e-04;-5.792931e-03;
122;1;1.081483e-04;-1.453302e-04;-3.612241e-03;
122;2;-2.953318e-05;-1.754834e-05;-2.474173e-04;
123;0;-6.002714e-19;5.667751e-19;2.076369e-17;
123;1;-1.714371e-18;3.349345e-19;1.548648e-17;
123;2;-8.453434e-20;1.126390e-20;-1.304365e-18;
